Starting Error Log for today 29/07/25 08:15:03
New() >> Init done - 29/07/25 08:15:03
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/09/25 04:28:11
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000279; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/09/25 04:32:06
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/09/25 04:32:10
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000279; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/09/25 04:32:41
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/09/25 04:32:41
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000279; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/09/25 04:33:21
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/09/25 04:33:22
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000279; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/09/25 04:33:53
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/09/25 04:33:53
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/09/25 04:35:47
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/09/25 04:36:34
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/09/25 04:37:01
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/09/25 04:37:26
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/09/25 04:37:26
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000962; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 10/09/25 10:12:21
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000473; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 10/09/25 10:12:22
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 10/09/25 10:12:23
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 10/09/25 10:12:23
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000473; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/09/25 12:15:14
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000962; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/09/25 12:15:15
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000279; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/09/25 12:15:15
